class,class_hint,noun_cues,verbs
bubbling,Continuous gentle gas bubbles in liquid or wet foam—not solid scraping or crushing.,air + water/soapy water; bath bomb; effervescent tablet; plastic spheres (liquid inside); foam fizz—not dry tools or ear friction.,bubbling
blowing,Directed airflow or breath on a surface—no sustained solid–solid slide.,mouth; lips; breath; fan; straw; air stream on mic/ear/skin—not nails/brushes/knives.,blowing
sizzling,Heated oily food micro-pops from cooking—not dry flame crackle alone.,hot oil; food on pan; cooking surface; sizzling food—not candle/wick alone.,sizzling
crackling,"Flame, combustion, or dry thermal crackle—not candy pop or package snap.",flame; candle; wick; fire; embers; dry thermal source—not bubble wrap or gel pod.,crackling
popping,"Sharp discrete micro-pops (candy, bubble-wrap, gel-pod)—not continuous crackle or crush.",bubble wrap; popping candy; gel pod; plastic pod snap; crisp packet pop—not brush strokes or spoon in cup.,popping
rotating,Object spins in place with rotation/mechanical whirr—not flip of pages/cards.,spinner; wheel; rotating gear; spinning object on axis—not cards/pages flipping.,rotating
flipping,"Repeated flip/turn cyclic contacts (cards, pages)—not continuous rotation hum.",cards; pages; book; flipping sheets—not spinner/wheel/gear.,flipping
ticking,Regular mechanical tick from clock/timer escapement—not keyboard typing.,clock; timer; metronome; wall clock—self-sounding; object often null—not keyboard keys.,ticking
tinkling,"Metal/glass/crystal parts of the prop itself lightly colliding or ringing—object-intrinsic crisp shimmer (like crackling is flame-intrinsic); not tool-on-surface scrape, pour/spill, or shaken-container rattle.",wind chime; bell; metal/glass/crystal ornament; hanging pendants; chain tinkle—sound from the object's own rigid parts—NOT bead/sequin pour or spill; NOT jar/bead shake; NOT nail/brush on mesh or mic (friction).,tinkling
friction_contact,"Sustained solid–solid slide, bristle stroke, scratch, or roll—not peel/cut, crush, stir-in-cup, wet smear, or modeling-pack peel/scrape.",nails; hair; bristles; brush; fabric; fur; dried flower; cotton swab slide; wood stick slide on surface/mic/ear—NOT knife/scissors/modeling pack peel/spoon in bowl/slime smash.,rubbing; scratching; brushing; rolling
impulsive_contact,"Short discrete impacts: tap, key press, drop—NOT sustained slide or crush.",tapping finger; keyboard keys; dropped beads/object; light discrete impacts—not sustained brush/hair slide or peeling.,tapping; typing; dropping
cutting_penetration,"Edge/tool removes material; blade cuts, tears, pierces, or scrapes layer off—including modeling pack / face mask peel or scrape from ear or mic—NOT whole-object crush or stir-in-container.",knife; scissors; blade; needle; metal tool; tweezers; gloved hand peeling edge; modeling pack; dried mask on silicone ear; ear-scrape tool removing layer—NOT jelly/slime/orbeez crush; NOT spoon stirring ice.,scraping; cutting; tearing; piercing
compression_deformation,"Pressure deforms, stretches, or breaks a solid—crinkle, crush, smash—NOT blade peel, wet wipe, or stir inside cup.",slime; jelly; floam; orbeez; floral foam; popcorn; crinkling paper under press; foam block crush; stretchy goo pull—NOT knife/peeling pack; NOT cream wipe on ear; NOT spoon in bowl.,pressing; squeezing; crushing; smashing; stretching
vocal_mouth,"Whisper, chew/crunch, or lick—oral cavity only; no external tool on mic.",mouth; tongue; teeth; lips; whisper; chewing food—no external tool subject.,whispering; crunching; licking
fluid_transfer,Liquid or particle stream between containers or from nozzle—NOT smear on fixed surface.,pouring liquid; spray bottle; nozzle; stream between containers; water pour—NOT cloth/cream smear on ear surface.,pouring; spraying
liquid_spread_wipe,"Wet/sticky medium smeared, wiped, or adhered on a surface—NOT dry modeling-pack peel/scrape, NOT in-cup stirring.",cream; gel; aloe; lotion; cloth; cotton pad; tape; adhesive sticker; wipe on ear/mic/skin; spatula on paint stick/unstick—NOT modeling pack peel/scrape off ear; NOT ice/spoon in bowl; NOT slime ball smash.,spreading; wiping; sticking
container_agitation,Stir or shake contents inside a container—NOT external slide on mic fur alone.,spoon; stick; ice cubes in glass; aloe in bowl; foam beads in container; beads in jar—agitation INSIDE vessel—NOT hair brush on mic; NOT peel on ear.,stirring; shaking
writing_painting,Pen/stylus line-making or brush moving paint on a surface—not ear cleaning friction.,pen; pencil; marker; stylus; paintbrush with paint on paper/canvas—not ear cleaning nails/brushes on silicone ear.,writing; painting
