class,class_hint,material_aliases,salient_verb_classes
plastic,"Stiff molded or cured polymers—crisp/hollow tap, bright scratch/friction; merges acrylic/resin/PVC/vinyl—not metal ring, wood knock, or fabric rustle.","acrylic; carbon; plastic; polymer; pvc; resin; synthetic; vinyl",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
wood,"Plant hardstock and light porous cork/pith—woody tap, dry scratch, muted crumble; includes bamboo and wicker—not polymer click or metal ring.","balsa; bamboo; basswood; compressed; cork; tongcao; tree; wicker; wood; wooden",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
ceramic,"Sintered ceramic/porcelain and unfired clay/plaster—hard brittle tap or powdery/plastic scrape; duller ring than glass—not rubber squeak.","ceramic; clay; modeling; plaster; porcelain",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
stone,"Dense stone and mineral solids—heavy clack and dry scrape; duller than glass/metal ring; includes jade/marble/granite—not wood or plastic tap.","granite; jade; lava; marble; mica; rock; stone",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
foam_lather,"Wet liquid lather/shaving foam coatings—soft broadband rub/squish; NOT solid bar soap (use wax) or styrofoam bead squeak.","foamy; lather; shaving",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
foam_solid,"Rigid expanded polymer foam—styrofoam bead squeak, porous solid rub/tap; floral foam/craft foam blocks are core objects, not this leading modifier.","acoustic; memory; styrofoam",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
glass,"Glass and crystal rigid bodies—bright brittle clink/tap with possible ring; not hollow plastic or damped rubber.","crystal; crystalline; frosted; glass",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
paper,"Fibrous sheets and board—crinkle, tear, light dull tap; not rigid ceramic clink or metal ring.","cardboard; paper; parchment",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
metal,"Bulk metal, foil, and wire—metallic transient with optional ring; all color/grade aliases merge—not wood thud or fabric rustle.","aluminum; brass; bronze; copper; foil; gold; iron; metal; metallic; silver; stainless; steel; tin; tuning; wire",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
rubber,"Elastomers (silicone, latex, rubber)—low-resonance damped tap, stick-slip or squeaky friction—not hard plastic click.","latex; rubber; silicone",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
wax,"Wax and solid bar soap—scratch, carve, tap; warm low-mid scrape; bar soap clicks/knife cuts are wax not wet lather.","bar soap; beeswax; paraffin; soap; soap bar; soy; wax",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
leather,"Leather and suede skins—surface rub, flex creak; suede duller than smooth leather—not woven textile swish alone.","leather; suede",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
textile_fibrous,"Woven and pile textile modifiers only—soft rustle/swish from cotton/wool/silk/felt; NOT brush bristles, fur props, or mesh tools (those stay in core).","cotton; fabric; felt; fleece; linen; silk; velvet; woven; wool",tinkling;friction_contact;impulsive_contact;cutting_penetration;container_agitation
